"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Crocodylia&interval=Paleogene&pgm=gplates,scotese,seton&show=full"
"Access Time","Thu 2025-02-13 09:50:31 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Crocodylia"
"","pgm","gplates,scotese,seton"
"","interval","Paleogene"
"","timerule","major"
"","taxon_status","all"
"","show","full"
"Elapsed Time","0.182"
"Records Found","886"
"Records Returned","886"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_attr","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","plant_organ","plant_organ2","abund_value","abund_unit","lng","lat","occurrence_comments","collection_name","collection_subset","collection_aka","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","paleomodel2","geoplate2","paleoage2","paleolng2","paleolat2","paleomodel3","geoplate3","paleoage3","paleolng3","paleolat3","cc","protected","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithadj1","lithification1","minor_lithology1","fossilsfrom1","lithology2","lithadj2","lithification2","minor_lithology2","fossilsfrom2","environment","tectonic_setting","geology_comments","assembl_comps","articulated_parts","associated_parts","common_body_parts","rare_body_parts","feed_pred_traces","artifacts","component_comments","pres_mode","preservation_quality","spatial_resolution","temporal_resolution","lagerstatten","concentration","orientation","abund_in_sediment","sorting","fragmentation","bioerosion","encrustation","preservation_comments","collection_type","collection_methods","museum","collection_coverage","collection_size","rock_censused","collectors","collection_dates","collection_comments","taxonomy_comments","taxon_environment","environment_basis","motility","life_habit","vision","diet","reproduction","ontogeny","ecospace_comments","composition","architecture","thickness","reinforcement"
"40163","occ","18506","","3113","Crocodylia indet.","unranked clade","38309","","Crocodylia","","unranked clade","36582","Thanetian","","59.2","56","Alroy","2006","18120","Chordata","Reptilia","Crocodylia","","","","","","","-74.683334","39.971943","originally entered as ""Crocodylus? sp.""","Vincentown Formation, NJ","","","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain","gplates","109","mid","-44.51","40.13","scotese","109","mid","-55.15","40.14","seton","101","mid","-54.04","39.29","US","","Vincentown","","","formation","","New Jersey","","","","","","","","","","sandstone","glauconitic","","sandy,calcareous","","","","","","","","","lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","this is the most updated faunal list for the Vincentown Fm","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"40167","occ","","","3113","Thoracosaurus basifissus","species","216615","nomen dubium","Gavialoidea","","superfamily","96627","Thanetian","","59.2","56","Cook and Ramsdell","1991","140","Chordata","Reptilia","Crocodylia","","","","","","","-74.683334","39.971943","","Vincentown Formation, NJ","","","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain","gplates","109","mid","-44.51","40.13","scotese","109","mid","-55.15","40.14","seton","101","mid","-54.04","39.29","US","","Vincentown","","","formation","","New Jersey","","","","","","","","","","sandstone","glauconitic","","sandy,calcareous","","","","","","","","","lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","this is the most updated faunal list for the Vincentown Fm","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"40168","occ","","","3113","Thoracosaurus basitruncatus","species","216614","nomen dubium","Gavialoidea","","superfamily","96627","Thanetian","","59.2","56","Cook and Ramsdell","1991","140","Chordata","Reptilia","Crocodylia","","","","","","","-74.683334","39.971943","","Vincentown Formation, NJ","","","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain","gplates","109","mid","-44.51","40.13","scotese","109","mid","-55.15","40.14","seton","101","mid","-54.04","39.29","US","","Vincentown","","","formation","","New Jersey","","","","","","","","","","sandstone","glauconitic","","sandy,calcareous","","","","","","","","","lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","this is the most updated faunal list for the Vincentown Fm","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"40169","occ","","","3113","Thoracosaurus neocesariensis","species","184628","","Thoracosaurus neocesariensis","","species","184627","Thanetian","","59.2","56","Cook and Ramsdell","1991","140","Chordata","Reptilia","Crocodylia","Gavialidae","Thoracosaurus","","","","","-74.683334","39.971943","","Vincentown Formation, NJ","","","US","New Jersey","","estimated from map","seconds","local area","""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain","gplates","109","mid","-44.51","40.13","scotese","109","mid","-55.15","40.14","seton","101","mid","-54.04","39.29","US","","Vincentown","","","formation","","New Jersey","","","","","","","","","","sandstone","glauconitic","","sandy,calcareous","","","","","","","","","lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""","","","","","","","","","","","","","","","","","","","","","","biostratigraphic","","","","","","","","","this is the most updated faunal list for the Vincentown Fm","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"150323","occ","","","13346","Crocodylidae indet.","unranked clade","38435","","Crocodylidae","","unranked clade","38435","Lutetian","","47.8","41.2","Holman and Case","1988","688","Chordata","Reptilia","Crocodylia","Crocodylidae","","","","62","specimens","-86.519997","31.366667","all teeth","Point A Dam Site","","Point ""A"" Dam Site, Conecuh River","US","Alabama","Covington","based on nearby landmark","minutes","outcrop","River Falls Quadrangle Topographic Sheet, 7.5 minute series, Covington County, Alabama, approximately NW 1/4, SW 1/4, Sec. 35, T5N, R15E, about 123-182 m south of the McWilliams Power Plant at the Dam, 1.6 km west of the town of Andalusia.","gplates","109","mid","-66.78","34.74","scotese","109","mid","-75.47","32.38","seton","101","mid","-75.32","29.74","US","","Tallahatta","Claiborne","","formation","","","","","","","","","","Original stratigraphy: ""The exposure situated below the Point ""A"" Dam is in the upper unit of the Tallahatta Formation, which in turn underlies the lowermost member of the Lisbon Formation..."" Lat long is for the Point A Dam.\r\n\r\nLater placed in the lowermost Lisbon Formation by Clayton et al., 2013.","""The formation consists primarily of sand, sandstone, clay, and claystone, ranging in thickness from 20 to 40 m at the outcropping.""","sandstone","","poorly lithified","sandy","","claystone","","poorly lithified","","","estuary/bay","","""The formation consists primarily of sand, sandstone, clay, and claystone, ranging in thickness from 20 to 40 m at the outcropping."" \r\n\r\n\r\n","macrofossils","","","","","","","","body,charcoalification","","","","","","","","","occasional","","","Paleoenvironment is interpreted as tidal, riverine along a tropical coastline. Fossils of marine fishes and freshwater turtles occur together. The boid snake may be derived from an adjacent terrestrial habitat.","taxonomic","field collection","","some macrofossils","","","","","Turtles, snakes, croc (and a charred pine knot possibly used as a ""stomach stone"") are described herein; at least 21 fish taxa are noted and were in the proccess of being described at the time of this publication.","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"168759","occ","","","15458","Borealosuchus sp.","genus","110899","","Borealosuchus","","genus","110899","Wasatchian","","54.9","50.5","Strait","2001","7530","Chordata","Reptilia","Crocodylia","NO_FAMILY_SPECIFIED","Borealosuchus","","","","","-107.572304","43.952400","see Holroyd et al. 2001","Castle Gardens","","UCMP V-99019; UCMP V99019; USGS D2018","US","Wyoming","Washakie","based on nearby landmark","4","outcrop","SE of Worland in SW 1/4, sec 18, T46N, R89W","gplates","101","mid","-79.64","51.58","scotese","101","mid","-90.28","48.75","seton","101","mid","-89.26","46.21","US","FED","Willwood","","","group of beds","Wa-0","ElkCr","15","m","bottom to top","","","","","""ca. 10 meter thick layer""\nsaid to be a Wa0 fauna and in the general area of the Elk Creek section, but exact level unclear\nsaid to be ""< 30 m"" in the southern Bighorn Basin section by Holroyd et al. 2001; 15 m level is arbitrary","""light gray mudstone with drab orange mottling""","mudstone","gray","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","at least one ""partial skeleton"" plus some jaws and many teeth","taxonomic","bulk,selective quarrying,surface (float),sieve","UCMP","some genera","","","","","","Hyopsodus loomisi, Diacodexis sp, Palaeanodon sp. are listed by Strait 1999 but omitted by Strait 2001","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"203975","occ","20034","","14764","Crocodylia indet.","unranked clade","38309","","Crocodylia","","unranked clade","36582","Danian","","66","61.6","Alroy","2007","19636","Chordata","Reptilia","Crocodylia","","","","","","","-108.699997","49.599998","","Pine Cree Park","","","CA","Saskatchewan","","based on nearby landmark","1","small collection","""two miles northwest of Southfork village""\r\nfossils are from ""a small cutbank on the east side of the creek""","gplates","101","mid","-68.74","59.52","scotese","101","mid","-83.79","55.92","seton","101","mid","-82.33","55.22","CA","","Ravenscrag","","","bed","","Cypress Hills","3","","","","","","","fossils are from a 0.55 m bed\r\n\r\nMagnetostratigraphy suggests Ravenscrag Fm. is Danian in age (see Eberth et al. 2019)","""Sandstone, clayey, soft, rust-colored; numerous crushed shells"" and vertebrates","sandstone","ferruginous,shelly/skeletal,red","","argillaceous","Y","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","field collection","","","3 specimens","","","","","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"205062","occ","","","22924","Leidyosuchus n. sp. acutidentatus","species","110902","recombined as","Borealosuchus acutidentatus","","species","110902","Danian","","66","61.6","Sternberg","1932","34368","Chordata","Reptilia","Crocodylia","NO_FAMILY_SPECIFIED","Borealosuchus","","","","","-106.753609","49.424999","","Southeast of Montague Lake","","Between St. Victor and Willow Bunch","CA","Saskatchewan","","stated in text","seconds","small collection","""S.E. 1/4 Sec. 31, T. 5, R. 28, W. of principal meridian, southeast of Montague Lake"" (Sternberg 1932) or ""south side of Twelve Mile Valley, between St. Victor and Willow Bunch"" (Russell 1974)\r\ncoordinate based on Twelvemile Lake","gplates","101","mid","-66.66","58.82","scotese","101","mid","-81.72","55.40","seton","101","mid","-80.27","54.74","CA","","Ravenscrag","","","bed","","Cypress Hills","3","","","","","","","""60 feet above base... in the lower part of the Upper Ravenscrag formation, Paleocene"" and Upper Ravenscrag is ""correlated"" with ""the Puerco of New Mexico"" (Sternberg 1932); the upper Ravenscrag ranges up to the Tiffanian but is in fact mostly Puercan and other PaleoDB collections from about this level are of this age\r\n\r\nMagnetostratigraphy suggests Ravenscrag Fm. is Danian in age (see Eberth et al. 2019)","""buff, fine-grained sands and silts"" (Sternberg 1932)","siltstone","","","sandy","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","""nearly complete skull and mandible, with some postcranial elements""","biostratigraphic","field collection","","","","","C. M. Sternberg","1929","","originally described by Sternberg 1932b","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
"206351","occ","13474","","14830","cf. Allognathosuchus sp.","genus","38424","","Allognathosuchus","","genus","38424","Torrejonian","","63.8","60.9","Robison","1986","2930","Chordata","Reptilia","Crocodylia","Alligatoridae","Allognathosuchus","","","","","-111.266670","39.183334","""crocodile""; not described","Dragon Canyon","","Gazin's Locality 2; OMNH V799; UALP 76111, 76112, 7776","US","Utah","Emery","stated in text","minutes","outcrop","""western half of section 8, T. 19 S., R. 6 E."" according to Gazin 1939\ncoordinate based on township and range","gplates","101","mid","-79.23","50.21","scotese","133","mid","-91.54","46.14","seton","101","mid","-89.13","45.36","US","FED","North Horn","","Joe's Valley","group of beds","","NHorn","4","","bottom to top","","","","","close to the top of a normal magnetic polarity zone interpreted as C28n, but there is no tie point in the section: see Lucas et al. 1997","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","taxonomic","field collection","","","","","","","","firmly correlated with Wagonroad Upper Horizon, which was included in the list of Tomida and Butler 1980; paleomagnetic data strongly support a correlation between the two horizons<br>descriptions of Robison 1986 do not incorporate the collections reported by Tomida and Butler and Tomida 1982<br>&quot;Oxyclaenus pearcei&quot; is not discussed by Robison 1986 and I assume it is only present at Wagonroad Upper Horizon<br><br>Haploconus &quot;inopinatus&quot; is not discussed by Robison 1986 and I assume it is only present at Wagonroad Upper Horizon","freshwater","","actively mobile","amphibious","","carnivore","","","","phosphatic","","",""
"211735","occ","","","15895","n. gen. Chrysochampsa n. sp. mlynarskii","species","274001","recombined as","Allognathosuchus mlynarskii","","species","274001","Wasatchian","","54.9","50.5","Estes","1988","766","Chordata","Reptilia","Crocodylia","Alligatoridae","Chrysochampsa","","","","","-102.800003","46.900002","YPM-PU 17258 - holotype (partial skull & 4 osteoderms)","White Butte/Turtle Valley","","South Heart Locality","US","North Dakota","Stark","based on political unit","1","local area","S of South Heart; Jepsen's Turtle Valley site is in SW 1/4 sec 16 and W 1/2 sec 21 T 138 N R 98 W and his original White Butte locality is about 7 mi ENE in SW 1/4 sec 29 and NW 1/4 sec 32 T 139 N R 97 W; West's new material is from a ""roadcut about 400 yards east"" of Jepsen's locality","gplates","101","mid","-72.92","53.35","scotese","101","mid","-84.30","51.00","seton","101","mid","-83.57","48.45","US","","Golden Valley","","","bed","","","","","","","","","","""Most of the fossil vertebrates... have been found... 2-5 inches below very distinctive, highly indurated and brittle layer of chert""; most plants are from ""about 4 feet above"" the layer in ""a zone of tan claystone""","""light-pink and gray clays""","claystone","gray,red","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","bulk,selective quarrying,surface (float),sieve,field collection","","","","","","","""Several hundred classifiable bones and teeth of vertebrates"" in the original collections, plus 10 teeth collected by West","","marine","","actively mobile","","","carnivore","","","","phosphatic","","",""
