"publication","name","value","count"
121,"data_cleaned","No",8
121,"data_cleaned","Yes",1
121,"processed_archived","No",4
121,"processed_archived","Yes",5
121,"raw_archived","No",8
121,"raw_archived","Yes",1
121,"workflow_documented","No",7
121,"workflow_documented","Yes",2
129,"data_cleaned","No",8
129,"data_cleaned","Yes",1
129,"processed_archived","No",2
129,"processed_archived","Yes",7
129,"raw_archived","No",4
129,"raw_archived","Yes",5
129,"workflow_documented","No",8
129,"workflow_documented","Yes",1
146,"data_cleaned","No",6
146,"data_cleaned","Yes",3
146,"processed_archived","No",5
146,"processed_archived","Yes",4
146,"raw_archived","No",8
146,"raw_archived","Yes",1
146,"workflow_documented","No",7
146,"workflow_documented","Yes",2
155,"data_cleaned","No",7
155,"data_cleaned","Yes",2
155,"processed_archived","No",7
155,"processed_archived","Yes",2
155,"raw_archived","No",9
155,"workflow_documented","No",6
155,"workflow_documented","Yes",3
17,"data_cleaned","No",9
17,"processed_archived","No",9
17,"raw_archived","No",8
17,"raw_archived","Yes",1
17,"workflow_documented","No",9
198,"data_cleaned","No",8
198,"data_cleaned","Yes",1
198,"processed_archived","No",8
198,"processed_archived","Yes",1
198,"raw_archived","No",9
198,"workflow_documented","No",8
198,"workflow_documented","Yes",1
211,"data_cleaned","No",8
211,"data_cleaned","Yes",1
211,"processed_archived","No",6
211,"processed_archived","Yes",3
211,"raw_archived","No",9
211,"workflow_documented","No",7
211,"workflow_documented","Yes",2
232,"data_cleaned","Yes",9
232,"processed_archived","No",1
232,"processed_archived","Yes",8
232,"raw_archived","No",4
232,"raw_archived","Yes",5
232,"workflow_documented","No",1
232,"workflow_documented","Yes",8
238,"data_cleaned","No",5
238,"data_cleaned","Yes",4
238,"processed_archived","No",7
238,"processed_archived","Yes",2
238,"raw_archived","No",8
238,"raw_archived","Yes",1
238,"workflow_documented","No",6
238,"workflow_documented","Yes",3
240,"data_cleaned","Yes",9
240,"processed_archived","Yes",9
240,"raw_archived","No",9
240,"workflow_documented","No",6
240,"workflow_documented","Yes",3
276,"data_cleaned","No",8
276,"data_cleaned","Yes",1
276,"processed_archived","No",9
276,"raw_archived","No",9
276,"workflow_documented","No",7
276,"workflow_documented","Yes",2
306,"data_cleaned","No",9
306,"processed_archived","No",9
306,"raw_archived","No",8
306,"raw_archived","Yes",1
306,"workflow_documented","No",8
306,"workflow_documented","Yes",1
34,"data_cleaned","No",2
34,"data_cleaned","Yes",7
34,"processed_archived","No",9
34,"raw_archived","No",9
34,"workflow_documented","No",7
34,"workflow_documented","Yes",2
340,"data_cleaned","Yes",9
340,"processed_archived","No",1
340,"processed_archived","Yes",8
340,"raw_archived","No",9
340,"workflow_documented","No",3
340,"workflow_documented","Yes",6
342,"data_cleaned","No",8
342,"data_cleaned","Yes",1
342,"processed_archived","No",5
342,"processed_archived","Yes",4
342,"raw_archived","No",8
342,"raw_archived","Yes",1
342,"workflow_documented","No",6
342,"workflow_documented","Yes",3
343,"data_cleaned","No",8
343,"data_cleaned","Yes",1
343,"processed_archived","No",1
343,"processed_archived","Yes",8
343,"raw_archived","No",4
343,"raw_archived","Yes",5
343,"workflow_documented","No",3
343,"workflow_documented","Yes",6
351,"data_cleaned","No",5
351,"data_cleaned","Yes",4
351,"processed_archived","No",7
351,"processed_archived","Yes",2
351,"raw_archived","No",6
351,"raw_archived","Yes",3
351,"workflow_documented","No",1
351,"workflow_documented","Yes",8
363,"data_cleaned","No",6
363,"data_cleaned","Yes",3
363,"processed_archived","No",3
363,"processed_archived","Yes",6
363,"raw_archived","No",2
363,"raw_archived","Yes",7
363,"workflow_documented","No",2
363,"workflow_documented","Yes",7
400,"data_cleaned","No",9
400,"processed_archived","No",9
400,"raw_archived","No",9
400,"workflow_documented","No",9
409,"data_cleaned","Yes",9
409,"processed_archived","No",1
409,"processed_archived","Yes",8
409,"raw_archived","No",5
409,"raw_archived","Yes",4
409,"workflow_documented","No",2
409,"workflow_documented","Yes",7
414,"data_cleaned","No",9
414,"processed_archived","No",9
414,"raw_archived","No",9
414,"workflow_documented","No",9
43,"data_cleaned","No",4
43,"data_cleaned","Yes",5
43,"processed_archived","No",9
43,"raw_archived","No",9
43,"workflow_documented","No",3
43,"workflow_documented","Yes",6
463,"data_cleaned","No",5
463,"data_cleaned","Yes",4
463,"processed_archived","No",1
463,"processed_archived","Yes",8
463,"raw_archived","No",7
463,"raw_archived","Yes",2
463,"workflow_documented","No",8
463,"workflow_documented","Yes",1
490,"data_cleaned","No",9
490,"processed_archived","No",7
490,"processed_archived","Yes",2
490,"raw_archived","No",8
490,"raw_archived","Yes",1
490,"workflow_documented","No",9
498,"data_cleaned","No",4
498,"data_cleaned","Yes",5
498,"processed_archived","No",7
498,"processed_archived","Yes",2
498,"raw_archived","No",1
498,"raw_archived","Yes",8
498,"workflow_documented","No",1
498,"workflow_documented","Yes",8
64,"data_cleaned","No",9
64,"processed_archived","No",5
64,"processed_archived","Yes",4
64,"raw_archived","No",9
64,"workflow_documented","No",9
76,"data_cleaned","No",4
76,"data_cleaned","Yes",5
76,"processed_archived","No",9
76,"raw_archived","No",9
76,"workflow_documented","No",4
76,"workflow_documented","Yes",5
79,"data_cleaned","No",7
79,"data_cleaned","Yes",2
79,"processed_archived","No",9
79,"raw_archived","No",9
79,"workflow_documented","No",4
79,"workflow_documented","Yes",5
92,"data_cleaned","No",1
92,"data_cleaned","Yes",8
92,"processed_archived","No",3
92,"processed_archived","Yes",6
92,"raw_archived","No",9
92,"workflow_documented","No",7
92,"workflow_documented","Yes",2
99,"data_cleaned","No",7
99,"data_cleaned","Yes",2
99,"processed_archived","No",8
99,"processed_archived","Yes",1
99,"raw_archived","No",8
99,"raw_archived","Yes",1
99,"workflow_documented","No",8
99,"workflow_documented","Yes",1
