"publication","Ale","Chris","Harriet","Lewis","Joe","Bethany","Erin","Will","Bruna"
"PBDB #129 - P.D. Mannion, P. Upchurch. 2011. A re-evaluation of the 'mid-Cretaceous sauropod hiatus' and the impact of uneven sampling of the fossil record on patterns of regional dinosaur extinction. Palaeogeography, Palaeoclimatology, Palaeoecology 299:529-540. DOI: 10.1016/j.palaeo.2010.12.003.","Yes","No","No","No","No","No","No","No","No"
"PBDB #490 - H. George, M. Bazzi, T. El Hossny, N. Ashraf, P. Abi Saad, T. Clements. 2024. The famous fish beds of Lebanon: the Upper Cretaceous Lagerstätten of Haqel, Hjoula, Nammoura, and Sahel Aalma. Journal of the Geological Society 181: jgs2023-210. DOI: 10.1144/jgs2023-210.","No","No","No","No","No","No","No","No","No"
"PBDB #17 - M. E. Patzkowsky, S. M. Holland. 2003. Lack of community saturation at the beginning of the Paleozoic plateau: the dominance of regional over local processes. Paleobiology 29:545-560. DOI: 10.1666/0094-8373(2003)029<0545:LOCSAT>2.0.CO;2.","No","No","No","No","No","No","No","No","No"
"PBDB #34 - M. Aberhan, W. Kiessling, F. T. Fursich. 2006. Testing the role of biological interactions for the evolution in mid-Mesozoic marine benthic ecosystems. Paleobiology 32:259-277. DOI: 10.1666/05028.1.","Yes","No","No","No","Yes","No","No","No","No"
"PBDB #43 - M. Kowalewski, W. Kiessling, M. Aberhan, F. T. Fursich, D. Scarponi, S. L. Barbour Wood, A. P. Hoffmeister. 2006. Ecological, taxonomic, and taphonomic components of the post-Paleozoic increase in sample-level species diversity of marine benthos. Paleobiology 32:533-561. DOI: 10.1666/05074.1.","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes"
"PBDB #64 - C. M. Powers, D. J. Bottjer. 2007. Bryozoan paleoecology indicates mid-Phanerozoic extinctions were the product of long-term environmental stress. Geology 35:995-998. DOI: 10.1130/G23858A.1.","No","No","No","No","No","No","No","No","No"
"PBDB #76 - S. Finnegan, J. L. Payne, S. C. Wang. 2008. The Red Queen revisited: reevaluating the age selectivity of Phanerozoic marine genus extinctions. Paleobiology 34:318-341. DOI: 10.1666/07008.1.","Yes","No","Yes","No","Yes","No","Yes","Yes","No"
"PBDB #79 - W. Kiessling, M. Aberhan, L. Villier. 2008. Phanerozoic trends in skeletal mineralogy driven by mass extinctions. Nature Geoscience 1:527-530. DOI: 10.1038/ngeo251.","Yes","No","No","No","Yes","No","Yes","Yes","Yes"
"PBDB #92 - W. Kiessling. 2010. Reef expansion during the Triassic: spread of photosymbiosis balancing climatic cooling. Palaeogeography, Palaeoclimatology, Palaeoecology 290:11-19. DOI: 10.1016/j.palaeo.2009.03.020.","Yes","No","No","No","No","No","Yes","No","No"
"PBDB #99 - A. J. W. Hendy. 2011. Taphonomic overprints on Phanerozoic trends in biodiversity: lithification and other secular megabiases. Topics in Geobiology 32:19-77. DOI: 10.1007/978-90-481-8643-3_2.","Yes","No","No","No","No","No","No","No","No"
"PBDB #121 - R.J. Butler, R.B.J. Benson, M.T. Carrano, P.D. Mannion, P. Upchurch. 2011. Sea-level, dinosaur diversity, and sampling biases: investigating the 'common cause' hypothesis in the terrestrial realm. Proceedings of the Royal Society B 278:1165-1170. DOI: 10.1098/rspb.2010.1754.","Yes","No","Yes","No","No","No","No","No","No"
"PBDB #146 - B. Hannisdal, S. Peters. 2011. Phanerozoic Earth system evolution and marine biodiversity. Science 334:1121-1124. DOI: 10.1126/science.1210695.","Yes","No","No","No","Yes","No","No","No","No"
"PBDB #155 - P. Gorzelak, M. A. Salamon, T. K. Baumiller. 2012. Predator-induced macroevolutionary trends in Mesozoic crinoids. Proceedings of the National Academy of Sciences 109:7004-7007. DOI: 10.1073/pnas.1201573109.","Yes","No","Yes","No","Yes","No","No","No","No"
"PBDB #198 - N.D. Pyenson, P. Kelley, J.F. Parham. 2014. Marine tetrapod macroevolution: physical and biological drivers on 250 million years of invasions and evolution in ocean ecosystems. Palaeogeography, Palaeoclimatology, Palaeoecology 400:1-8. DOI: 10.1016/j.palaeo.2014.02.018.","Yes","No","No","No","No","No","No","No","No"
"PBDB #211 - C. Klug, K. De Baets, B. Kröger, M.A. Bell, D. Korn, J.L. Payne. 2015. Normal giants? Temporal and latitudinal shifts of Palaeozoic marine invertebrate gigantism and global change. Lethaia 48:267-288. DOI: 10.1111/let.12104.","Yes","No","No","No","Yes","No","No","No","No"
"PBDB #232 - A. M. Dunhill, M.A. Wills. 2015. Geographic range did not confer resilience to extinction in terrestrial vertebrates at the end-Triassic crisis. Nature Communications 6:7980. DOI: 10.1038/ncomms8980.","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
